station_destination,SIM_est_5beta_sum,flow_sum,change_ratio
Rotherhithe,323.0,321,2.0
Waterloo,23410.0,23408,2.0
Warren Street,17311.0,17309,2.0
Wapping,1068.0,1066,2.0
Vauxhall,16244.0,16242,2.0
West India Quay,402.0,400,2.0
All Saints,446.0,444,2.0
Devons Road,614.0,611,3.0
Marble Arch,6148.0,6145,3.0
Blackwall,668.0,665,3.0
South Quay,4594.0,4591,3.0
Green Park,26757.0,26754,3.0
Woolwich Arsenal,4431.0,4428,3.0
Piccadilly Circus,13645.0,13641,4.0
Victoria,33256.0,33251,5.0
