station_destination,prodsimest4_sum,flow_sum,change_ratio
Forest Gate,1003.0,816,187.0
Clapham South,1718.0,1513,205.0
Stamford Brook,997.0,784,213.0
Moorgate,24788.0,24574,214.0
Latimer Road,1336.0,1109,227.0
Willesden Green,1072.0,830,242.0
Turnham Green,1766.0,1515,251.0
Ravenscourt Park,2157.0,1895,262.0
Ilford,1943.0,1665,278.0
Upton Park,1921.0,1642,279.0
Manor Park,716.0,436,280.0
Kensington,2542.0,2252,290.0
Ladbroke Grove,2434.0,2131,303.0
Maida Vale,1255.0,949,306.0
Finchley Road,3724.0,3417,307.0
Tufnell Park,865.0,557,308.0
Bayswater,924.0,615,309.0
Arsenal,673.0,315,358.0
Harold Wood,911.0,530,381.0
Gidea Park,685.0,299,386.0
Leyton,1850.0,1447,403.0
Euston Square,8515.0,8093,422.0
Clapham Common,2446.0,2020,426.0
Barons Court,3386.0,2956,430.0
Swiss Cottage,3029.0,2598,431.0
Westbourne Park,1779.0,1347,432.0
Royal Oak,1313.0,856,457.0
Warwick Avenue,1642.0,1174,468.0
Queen's Park,2644.0,2167,477.0
Seven Kings,1036.0,559,477.0
Manor House,1798.0,1311,487.0
Plaistow,1541.0,1049,492.0
Chadwell Heath,1057.0,561,496.0
Kentish Town,3905.0,3404,501.0
Chalk Farm,1838.0,1329,509.0
Clapham North,1776.0,1238,538.0
Holland Park,2602.0,2063,539.0
Willesden Junction,4717.0,4165,552.0
Goodmayes,1257.0,683,574.0
West Kensington,1921.0,1345,576.0
Queensway,2482.0,1882,600.0
St. John's Wood,4624.0,3982,642.0
Old Street,16580.0,15897,683.0
Earl's Court,7322.0,6613,709.0
Bromley-by-Bow,2348.0,1613,735.0
Bow Road,1944.0,1193,751.0
Lancaster Gate,2580.0,1820,760.0
Stockwell,2452.0,1623,829.0
Bond Street,21796.0,20967,829.0
High Street Kensington,6271.0,5427,844.0
Aldgate,8638.0,7782,856.0
Shepherd's Bush,10750.0,9890,860.0
Notting Hill Gate,6366.0,5490,876.0
Holloway Road,2631.0,1696,935.0
Romford,3132.0,2194,938.0
Shadwell,8433.0,7446,987.0
Kennington,2166.0,1161,1005.0
Caledonian Road,2813.0,1803,1010.0
Bermondsey,4198.0,3172,1026.0
Oval,3610.0,2544,1066.0
Camden Town,7478.0,6348,1130.0
Baker Street,16109.0,14973,1136.0
Gloucester Road,6348.0,5194,1154.0
Stepney Green,3040.0,1879,1161.0
Pimlico,6821.0,5585,1236.0
Mile End,5002.0,3759,1243.0
Lambeth North,2564.0,1319,1245.0
Mornington Crescent,4229.0,2927,1302.0
Holborn,23667.0,22346,1321.0
Great Portland Street,8305.0,6936,1369.0
Sloane Square,9608.0,8229,1379.0
Regent's Park,4772.0,3364,1408.0
Edgware Road,8306.0,6868,1438.0
Euston,18250.0,16800,1450.0
Hyde Park Corner,3958.0,2410,1548.0
Knightsbridge,8380.0,6821,1559.0
West Hampstead,7464.0,5856,1608.0
Marylebone,5861.0,4250,1611.0
Mansion House,9450.0,7815,1635.0
Borough,4919.0,3254,1665.0
Aldgate East,9612.0,7932,1680.0
Warren Street,18999.0,17309,1690.0
St. James's Park,15048.0,13339,1709.0
Blackfriars,12570.0,10848,1722.0
Chancery Lane,17147.0,15391,1756.0
Marble Arch,7939.0,6145,1794.0
Canning Town,17258.0,15428,1830.0
Angel,9965.0,8103,1862.0
St. Paul's,15326.0,13446,1880.0
Elephant & Castle,8352.0,6427,1925.0
Tower Hill,10233.0,8286,1947.0
Goodge Street,8417.0,6457,1960.0
Tottenham Court Road,21092.0,19126,1966.0
Westminster,17469.0,15466,2003.0
Cannon Street,6729.0,4698,2031.0
Barbican,11338.0,9134,2204.0
Temple,8985.0,6780,2205.0
Southwark,12681.0,10326,2355.0
West Brompton,8216.0,5859,2357.0
Russell Square,7584.0,5172,2412.0
Covent Garden,6790.0,4355,2435.0
Bethnal Green,7245.0,4660,2585.0
West Ham,8102.0,5487,2615.0
Piccadilly Circus,16368.0,13641,2727.0
Charing Cross,9841.0,7016,2825.0
Leicester Square,11818.0,8847,2971.0
Embankment,13227.0,10220,3007.0
Highbury & Islington,29978.0,25385,4593.0
Canada Water,25343.0,20443,4900.0
Whitechapel,24447.0,17633,6814.0
Stratford,67147.0,55954,11193.0
