"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 3 Wealth Distribution.nlogo"
"experiment"
"09/04/2023 22:16:08:992 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","maximum-sugar-endowment","minimum-sugar-endowment","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"7","25","5","no-visualization","700","21","700","20.824285714285715"
"4","25","5","no-visualization","400","31","400","32.4425"
"5","25","5","no-visualization","500","30","500","28.682"
"3","25","5","no-visualization","300","33","300","34.6"
"6","25","5","no-visualization","600","25","600","24.10333333333333"
"2","25","5","no-visualization","200","55","200","63.855"
"4","25","5","no-visualization","400","32","400","33.125"
"5","25","5","no-visualization","500","31","500","29.162"
"4","25","5","no-visualization","400","33","400","33.9075"
"7","25","5","no-visualization","700","22","700","21.22142857142857"
"3","25","5","no-visualization","300","34","300","35.46"
"5","25","5","no-visualization","500","32","500","29.894"
"8","25","5","no-visualization","800","17","800","17.9225"
"1","25","5","no-visualization","100","13","100","24.35"
"4","25","5","no-visualization","400","34","400","34.595"
"3","25","5","no-visualization","300","35","300","36.17"
"6","25","5","no-visualization","600","26","600","24.645"
"5","25","5","no-visualization","500","33","500","30.626"
"7","25","5","no-visualization","700","23","700","21.717142857142857"
"4","25","5","no-visualization","400","35","400","35.3"
"8","25","5","no-visualization","800","18","800","18.3"
"5","25","5","no-visualization","500","34","500","31.26"
"3","25","5","no-visualization","300","36","300","36.92333333333333"
"4","25","5","no-visualization","400","36","400","36.0275"
"7","25","5","no-visualization","700","24","700","22.21857142857143"
"5","25","5","no-visualization","500","35","500","31.874"
"2","25","5","no-visualization","200","56","200","64.895"
"6","25","5","no-visualization","600","27","600","25.088333333333335"
"8","25","5","no-visualization","800","19","800","18.71625"
"4","25","5","no-visualization","400","37","400","36.645"
"3","25","5","no-visualization","300","37","300","37.776666666666664"
"5","25","5","no-visualization","500","36","500","32.48"
"7","25","5","no-visualization","700","25","700","22.722857142857144"
"4","25","5","no-visualization","400","38","400","37.245"
"3","25","5","no-visualization","300","38","300","38.54666666666667"
"1","25","5","no-visualization","100","14","100","25.22"
"6","25","5","no-visualization","600","28","600","25.64"
