"BehaviorSpace results (NetLogo 6.3.0)"
"Sugarscape 2 Constant Growback.nlogo"
"experiment"
"09/04/2023 22:22:31:802 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","visualization","initial-population","[step]","count turtles","mean [sugar] of turtles"
"8","no-visualization","800","14","490","20.102040816326532"
"3","no-visualization","300","38","178","56.97752808988764"
"6","no-visualization","600","26","342","34.494152046783626"
"4","no-visualization","400","32","248","43.274193548387096"
"7","no-visualization","700","13","469","19.686567164179106"
"2","no-visualization","200","9","166","19.740963855421686"
"1","no-visualization","100","57","71","89.25352112676056"
"3","no-visualization","300","39","178","58.21348314606742"
"8","no-visualization","800","15","471","21.316348195329088"
"4","no-visualization","400","33","247","44.40485829959514"
"6","no-visualization","600","27","342","35.388888888888886"
"1","no-visualization","100","58","71","90.63380281690141"
"7","no-visualization","700","14","453","20.735099337748345"
"3","no-visualization","300","40","177","59.74576271186441"
"5","no-visualization","500","36","274","48.416058394160586"
"1","no-visualization","100","59","71","92.01408450704226"
"6","no-visualization","600","28","342","36.28947368421053"
"4","no-visualization","400","34","247","45.364372469635626"
"8","no-visualization","800","16","460","22.297826086956523"
"1","no-visualization","100","60","71","93.45070422535211"
"5","no-visualization","500","37","274","49.43795620437956"
"6","no-visualization","600","29","341","37.252199413489734"
"1","no-visualization","100","61","71","94.85915492957747"
"7","no-visualization","700","15","449","21.325167037861917"
"3","no-visualization","300","41","177","60.97175141242938"
"4","no-visualization","400","35","247","46.32793522267207"
"5","no-visualization","500","38","272","50.8235294117647"
"8","no-visualization","800","17","457","22.99343544857768"
"1","no-visualization","100","62","71","96.19718309859155"
"3","no-visualization","300","42","177","62.18079096045198"
"6","no-visualization","600","30","337","38.566765578635014"
"5","no-visualization","500","39","272","51.875"
"1","no-visualization","100","63","71","97.56338028169014"
"8","no-visualization","800","18","447","24.089485458612977"
"7","no-visualization","700","16","437","22.361556064073227"
"4","no-visualization","400","36","247","47.30769230769231"
"3","no-visualization","300","43","177","63.36158192090395"
"1","no-visualization","100","64","71","98.97183098591549"
"6","no-visualization","600","31","337","39.439169139465875"
"5","no-visualization","500","40","272","52.88970588235294"
"1","no-visualization","100","65","71","100.35211267605634"
"6","no-visualization","600","32","337","40.30860534124629"
"8","no-visualization","800","19","439","25.12984054669704"
"7","no-visualization","700","17","428","23.345794392523363"
"4","no-visualization","400","37","247","48.31983805668016"
"5","no-visualization","500","41","272","53.93382352941177"
"1","no-visualization","100","66","71","101.73239436619718"
"3","no-visualization","300","44","177","64.5819209039548"
"6","no-visualization","600","33","337","41.204747774480715"
"2","no-visualization","200","10","163","20.69325153374233"
"5","no-visualization","500","42","272","55.00735294117647"
"7","no-visualization","700","18","422","24.253554502369667"
"8","no-visualization","800","20","434","26.048387096774192"
"4","no-visualization","400","38","247","49.31578947368421"
"3","no-visualization","300","45","176","66.25568181818181"
"1","no-visualization","100","67","71","103.07042253521126"
"6","no-visualization","600","34","334","42.4940119760479"
"1","no-visualization","100","68","71","104.38028169014085"
"3","no-visualization","300","46","176","67.52272727272727"
"7","no-visualization","700","19","413","25.401937046004843"
"4","no-visualization","400","39","247","50.283400809716596"
"8","no-visualization","800","21","428","27.067757009345794"
"1","no-visualization","100","69","71","105.71830985915493"
"6","no-visualization","600","35","333","43.546546546546544"
"5","no-visualization","500","43","272","56.036764705882355"
"1","no-visualization","100","70","70","108.61428571428571"
"3","no-visualization","300","47","176","68.75"
"4","no-visualization","400","40","247","51.23481781376518"
"7","no-visualization","700","20","411","26.175182481751825"
"1","no-visualization","100","71","70","110"
"8","no-visualization","800","22","424","27.97877358490566"
"3","no-visualization","300","48","176","69.94886363636364"
"5","no-visualization","500","44","270","57.51111111111111"
"6","no-visualization","600","36","333","44.45645645645646"
"1","no-visualization","100","72","70","111.4"
"4","no-visualization","400","41","246","52.40243902439025"
"7","no-visualization","700","21","404","27.287128712871286"
"3","no-visualization","300","49","176","71.17613636363636"
"8","no-visualization","800","23","418","29.09090909090909"
"1","no-visualization","100","73","70","112.82857142857142"
"5","no-visualization","500","45","270","58.58148148148148"
"4","no-visualization","400","42","246","53.386178861788615"
"1","no-visualization","100","74","70","114.2"
"3","no-visualization","300","50","176","72.42045454545455"
"7","no-visualization","700","22","401","28.189526184538654"
"1","no-visualization","100","75","70","115.6"
"5","no-visualization","500","46","270","59.644444444444446"
"4","no-visualization","400","43","246","54.31707317073171"
"6","no-visualization","600","37","333","45.411411411411414"
"3","no-visualization","300","51","176","73.67613636363636"
"8","no-visualization","800","24","418","29.79665071770335"
"1","no-visualization","100","76","70","116.98571428571428"
"7","no-visualization","700","23","396","29.25"
"4","no-visualization","400","44","245","55.5265306122449"
"1","no-visualization","100","77","70","118.4"
"3","no-visualization","300","52","176","74.9375"
"5","no-visualization","500","47","269","60.92936802973978"
"6","no-visualization","600","38","333","46.35735735735736"
"8","no-visualization","800","25","410","31.102439024390243"
"1","no-visualization","100","78","70","119.81428571428572"
"3","no-visualization","300","53","176","76.16477272727273"
"4","no-visualization","400","45","244","56.77049180327869"
"5","no-visualization","500","48","268","62.22761194029851"
"7","no-visualization","700","24","389","30.493573264781492"
"2","no-visualization","200","11","162","21.462962962962962"
"1","no-visualization","100","79","70","121.2"
"6","no-visualization","600","39","332","47.4277108433735"
"3","no-visualization","300","54","176","77.4034090909091"
"4","no-visualization","400","46","244","57.78688524590164"
"7","no-visualization","700","25","387","31.43152454780362"
"8","no-visualization","800","26","407","32.06879606879607"
"3","no-visualization","300","55","176","78.66477272727273"
"5","no-visualization","500","49","268","63.31716417910448"
"1","no-visualization","100","80","70","122.58571428571429"
"6","no-visualization","600","40","331","48.54380664652568"
"4","no-visualization","400","47","244","58.77049180327869"
"3","no-visualization","300","56","176","79.92613636363636"
"1","no-visualization","100","81","69","125.73913043478261"
"7","no-visualization","700","26","385","32.38181818181818"
"1","no-visualization","100","82","69","127.15942028985508"
"5","no-visualization","500","50","268","64.3955223880597"
"3","no-visualization","300","57","176","81.23295454545455"
"8","no-visualization","800","27","404","33.0470297029703"
"4","no-visualization","400","48","244","59.73360655737705"
"6","no-visualization","600","41","330","49.621212121212125"
"1","no-visualization","100","83","69","128.56521739130434"
"3","no-visualization","300","58","176","82.50568181818181"
"7","no-visualization","700","27","385","33.18961038961039"
"1","no-visualization","100","84","69","130"
"5","no-visualization","500","51","268","65.44776119402985"
